127.0.0.1, 2019-07-06 17:21:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:22:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2019-07-06 17:22:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.726000
127.0.0.1, 2019-07-06 17:23:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058000
127.0.0.1, 2019-07-06 17:23:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 4.089000
127.0.0.1, 2019-07-06 17:24:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2019-07-06 17:24:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.907000
127.0.0.1, 2019-07-06 17:25:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.107000
127.0.0.1, 2019-07-06 17:25:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.743000
127.0.0.1, 2019-07-06 17:26:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
127.0.0.1, 2019-07-06 17:26:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.857000
127.0.0.1, 2019-07-06 17:27:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103000
127.0.0.1, 2019-07-06 17:27:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.938000
127.0.0.1, 2019-07-06 17:27:28, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.250000
127.0.0.1, 2019-07-06 17:27:28, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:27:33, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-27-26.35c8063d-3464-4007-aa9b-f18d19a24d6c, HTTP/1.1, 200, 0.131000
127.0.0.1, 2019-07-06 17:27:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-06 17:28:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.182000
127.0.0.1, 2019-07-06 17:28:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.588000
127.0.0.1, 2019-07-06 17:29:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098000
127.0.0.1, 2019-07-06 17:29:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.524000
127.0.0.1, 2019-07-06 17:30:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.097000
127.0.0.1, 2019-07-06 17:30:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.578000
127.0.0.1, 2019-07-06 17:31:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.206000
